Wind AT 2013,Wind AT 2015,Wind AT 2016,Wind 2030 TU EEG Stromzukunft,WEB 2015 Umgebung Wien,Hochrechnung berschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020
517.5178,1786.607,204.9158,3.196085167,3.021789,8.7,1166.832,17.371,2339,504
499.638,1305.936,118.8308,3.482857186,1.144101,6,1147.848,11.726,2401,884
443.2333,902.679,79.054,3.531017373,1.14693,3.8,1049.372,9.463,2474,1337
323.4603,771.3875,62.3145,4.253420189,0.743655,3.1,664.956,14.34,2449,1413
345.8383,574.8843,57.3628,4.886069923,0.62259,1.7,391.983,38.717,2390,1654
438.1258,848.9923,103.3878,4.697807368,0.831621,3.1,349.314,50.059,2254,1694
456.4418,1241.198,134.48,3.51788278,1.627914,5,342.935,55.992,2266,1490
480.6538,1218.5268,235.5723,3.344943927,3.32646,4.4,303.341,58.766,2211,1730
558.1933,1533.9278,272.0508,3.644850547,2.747295,6,244.175,81.075,2149,1293
609.5233,1552.6728,377.0945,3.552908366,3.890997,6.6,269.821,61.435,2228,1232
610.3603,1497.8033,467.3235,3.557286566,3.990675,7.1,467.814,40.933,2259,1266
620.6148,1802.6365,512.5163,2.817370957,4.258743,9.4,461.7,50.579,2290,1492
722.9368,1859.7158,475.8968,4.382577056,3.935898,9.7,471.497,59.447,2196,1752
774.5483,1807.5138,404.2688,3.463155293,3.929796,9.2,571.673,83.802,2081,1781
720.6625,1797.605,289.6473,2.02053877,3.4494,8.6,762.348,145.964,2075,1631
771.564,1769.7848,625.4698,1.324405157,3.440802,7,1152.481,192.736,1788,1534
820.5308,1647.5105,950.6945,1.608988076,3.360522,5.8,1515.024,260.034,1445,1383
783.2745,1551.584,653.0618,1.926407497,2.91924,5,1506.481,365.794,1218,1140
855.6858,1383.6048,439.6328,2.502140645,3.868236,4.2,1540.01,447.945,1263,1056
720.095,1572.0703,341.458,2.635675712,3.924939,5.7,1374.429,588.125,1395,881
633.8663,1687.7435,315.8768,3.22016526,3.282735,6.6,1285.137,682.953,1163,661
409.2803,1516.3198,367.0338,4.089237727,3.034287,5.3,1200.3,877.347,1069,376
347.385,1690.6675,578.3463,5.168463742,3.547512,6.9,926.478,840.11,1220,111
282.0843,1554.801,659.6695,6.302417253,3.669156,6.3,817.813,909.265,1525,9
256.8615,1584.651,785.7433,6.050670819,3.791022,6.8,610.168,954.825,1663,4
219.514,1711.476,1149.0545,6.076940003,3.569322,7.9,542.591,926.036,1727,10
227.2155,1745.6278,1568.226,6.12728929,3.4908,8.2,540.243,977.328,1929,20
194.6393,1848.8763,1440.103,6.409683118,3.697014,8.5,640.771,974.221,2179,38
114.1968,1845.847,960.6183,6.499436199,3.209934,7.6,793.78,994.946,2452,43
94.1393,1790.2228,1284.7368,6.337442838,4.021497,6,905.09,997.486,2641,119
108.7313,1728.631,1050.8705,5.713549504,3.968883,5.2,1035.177,1012.432,2696,263
106.3995,1823.3235,889.138,6.475356106,3.901626,6.2,1284.236,955.389,2679,635
75.9883,1793.932,681.202,6.602323873,4.465791,6.9,1068.954,816.115,2556,944
32.4133,1834.7633,700.6778,6.573865579,4.509372,7.7,983.652,650.031,2473,732
42.0705,1770.4235,893.951,6.556352787,4.551984,8.5,976.431,638.616,2510,689
20.0725,1690.2485,921.2783,6.659240451,3.882936,8.5,725.725,624.985,2589,811
10.8235,1279.3688,977.5395,6.676753253,1.789899,6,694.942,600.613,2678,860
16.6678,786.6558,1322.7488,6.674564153,0.885486,2.5,700.94,570.698,2470,867
22.8775,501.2668,1646.1868,6.65267316,1.009995,0,685.115,604.688,2155,945
24.8425,539.5133,1607.4245,6.661429551,1.803699,0,596.863,670.5,2310,1297
29.4575,419.2103,1417.9185,6.630782167,1.617855,0,490.511,601.753,2297,1481
36.6625,344.5895,1395.308,6.632971258,0.846231,0,483.284,550.174,2182,1316
35.9155,305.066,1111.1565,6.562920078,0.700731,0,568.124,488.619,2328,1164
26.073,340.75,967.5153,6.453465113,0.493014,0,604.762,415.029,2200,943
14.3995,327.0008,949.2638,6.358154349,0.349203,0,740.401,395.701,1821,830
10.4175,357.0485,992.8538,5.593149038,0.326439,0,1020.392,390.587,1824,789
3.7295,350.3825,991.1743,4.1877472,0.350475,0,1299.518,380.854,2046,608
2.3775,295.4558,1095.6425,3.633905046,0.537,0,1701.194,390.667,2052,551
2.3705,352.7458,1463.6418,3.830923993,0.743853,0,1971.843,363.777,2066,432
4.2503,361.8183,1298.1613,4.056401233,0.397266,0,2083.126,323.723,1773,261
